question_type,body_system,question_text,option_1,option_2,option_3,option_4,option_5,option_6,option_7
0,Skeletal,"What term matches the following definition?
  
  'painful inflammation and stiffness of the bones and joints'",Osteoarthritis,Scoliosis,metatars/o,Pronation,,,
0,Skeletal,"What term matches the following definition?
  
  'bones of the wrist'",Carpals,thorac/o,Synovial fluid,humer/o,,,
0,Skeletal,"What term matches the following definition?
  
  'disease, suffering, feeling, emotion'",path/o,Physical Therapist,Synovial membrane,prosthet/o,,,
0,Skeletal,"What term matches the following definition?
  
  'addition, appendage'",prosthet/o,myel/o,uln/o,lamin/o,,,
0,Skeletal,"What term matches the following definition?
  
  'tarsals (ankle bones)'",tars/o,ped/o,Synovial fluid,Arthritis,,,
0,Skeletal,"What term matches the following definition?
  
  'ilium (lateral, flaring portion of hip bone)'",ili/o,clavicul/o,Arthritis,Bone Cancer,,,
0,Skeletal,"What term matches the following definition?
  
  'synovial membrane, synovial fluid'",synov/o,Myasthenia Gravis,Cartilage,path/o,,,
0,Skeletal,"What term matches the following definition?
  
  'fluid-filled sac that allows for easy movement of one part of a joint over another'",Bursa,medial rotation,Fibula,Ligaments,,,
0,Skeletal,"What term matches the following definition?
  
  'osteosarcoma'",Bone Cancer,cortic/o,Osteoporosis,Ribs,,,
0,Skeletal,"What term matches the following definition?
  
  'red blood cell'",erthr/o,arthr/o,Rotation,Rheumatologist,,,
0,Skeletal,"What term matches the following definition?
  
  'decreases the angle of the joint and brings two bones closer together'",Flexion,Abduction,metatars/o,ankyl/o,,,
0,Skeletal,"What term matches the following definition?
  
  'rib; costa'",cost/o,scoli/o,cutane/o,Axial,,,
0,Skeletal,"What term matches the following definition?
  
  'inner and larger bone of the forearm, attached to the wrist and located on the side of the little finger'",Ulna,Meniscus,Physical Therapist,tibi/o,,,
0,Skeletal,"What term matches the following definition?
  
  'bone, bone tissue'",oste/o,Pronation,vertebr/o,Rheumatologist,,,
0,Skeletal,"What term matches the following definition?
  
  'upper leg bone'",Femur,burs/o,Supination,crani/o,,,
0,Skeletal,"What term matches the following definition?
  
  'outward (lateral) movement of a body segment in the transverse plane, away from the midline'",Lateral rotation,Doctor of Chiropractic (DC)/Chiropractor,cost/o,Ribs,,,
0,Skeletal,"What term matches the following definition?
  
  'neck'",cervic/o,path/o,Diarthrosis,spin/o,,,
0,Skeletal,"What term matches the following definition?
  
  'curve, swayback, bent'",lord/o,maxill/o,chondr/o,Rheumatologist,,,
0,Skeletal,"What term matches the following definition?
  
  'autoimmune neuromuscular disorder characterized by weakness of voluntary muscles, commonly noticed in the eyes, this impacts bone health, posture, and joint stiffness'",Myasthenia Gravis,ped/o,Femur,scoli/o,,,
0,Skeletal,"What term matches the following definition?
  
  'chronic condition with widespread aching and pain in the muscles and fibrous soft tissue, this impacts bone health, posture, and joint stiffness'",Fibromyalgia,Abduction,fibul/o,cortic/o,,,
0,Skeletal,"What term matches the following definition?
  
  'scapula (shoulder blade)'",scapul/o,Meniscus,Scapula,Arthroscopy,,,
0,Skeletal,"What term matches the following definition?
  
  'chest'",thorac/o,Metacarpals,Elevation,Femur,,,
0,Skeletal,"What term matches the following definition?
  
  'a connective tissue that is more flexible than bone and that protects the ends of bones and keeps them from rubbing together'",Cartilage,Elevation,medial rotation,cortic/o,,,
0,Skeletal,"What term matches the following definition?
  
  'the lining of a joint that secretes synovial fluid into the joint space'",Synovial membrane,Rheumatologist,Carpals,kyph/o,,,
0,Skeletal,"What term matches the following definition?
  
  'movement toward the midline of the body'",Adduction,stern/o,chondr/o,Axial,,,
