terms,definition,body_system
Cranium,the portion of the skull that encloses the brain,Skeletal
Clavicle,collar bone,Skeletal
Scapula,shoulder blade,Skeletal
Sternum,"chest bone, breast bone",Skeletal
Ribs,the bones in the chest that protect the heart and lungs,Skeletal
Humorus,upper arm bone,Skeletal
Ulna,"inner and larger bone of the forearm, attached to the wrist and located on the side of the little finger",Skeletal
Radius,"lateral bone of the forearm, larger of the two forearm bones, on the thumb side",Skeletal
Carpals,bones of the wrist,Skeletal
Metacarpals,the five bones that form the palms of the hand,Skeletal
Phalanges,bones of the fingers AND toes,Skeletal
Femur,upper leg bone,Skeletal
Patella,kneecap,Skeletal
Tibia,"the shin bone, the larger of the two bones of the lower leg",Skeletal
Fibula,the lateral and smaller bone of the lower leg,Skeletal
Pelvis,hip bone,Skeletal
Vertebral column,a series of irregularly shaped bones called vertebrae that houses the spinal cord,Skeletal
Axial,"relating to head, neck, and trunk, the axis of the body",Skeletal
Appendicular,relating to limbs and their attachments to the axis,Skeletal
X-rays,"electromagnetic waves with wavelengths shorter than ultraviolet rays, but longer than gamma rays",Skeletal
Dual x-ray absorptiometry,"a low-exposure radiographic measurement of the spine and hips to measure bone density, aka bone mineral density test",Skeletal
Arthroscopy,the visual examination of the internal structure of a joint,Skeletal
Functions of the Skeletal System (5),"support, protection, movement, storage, blood cell production",Skeletal
Synarthrosis,immovable joint,Skeletal
Amphiarthrosis,slightly movable joint,Skeletal
Diarthrosis,freely movable joint,Skeletal
Cartilage,a connective tissue that is more flexible than bone and that protects the ends of bones and keeps them from rubbing together,Skeletal
Synovial membrane,the lining of a joint that secretes synovial fluid into the joint space,Skeletal
Synovial fluid,joint-lubricating fluid secreted by the synovial membrane,Skeletal
Ligaments,connect bone to bone,Skeletal
Tendons,connect muscle to bone,Skeletal
Bursa,fluid-filled sac that allows for easy movement of one part of a joint over another,Skeletal
Meniscus,the curve at a liquid's surface by which one measures the volume of the liquid,Skeletal
Flexion,decreases the angle of the joint and brings two bones closer together,Skeletal
Extension,"increases the angle of a joint, straightening of a joint",Skeletal
Abduction,movement away from the midline of the body,Skeletal
Adduction,movement toward the midline of the body,Skeletal
Circumduction,circular movement of a limb at the far end,Skeletal
Rotation,circular movement around an axis,Skeletal
Lateral rotation,"outward (lateral) movement of a body segment in the transverse plane, away from the midline",Skeletal
Supination,turning the palm upward,Skeletal
Depression,lowering a body part,Skeletal
Elevation,raising a body part,Skeletal
arthr/o,joint,Skeletal
burs/o,"bursa, sac of fluid near joint",Skeletal
carp/o,carpals (wrist bones),Skeletal
cervic/o,neck,Skeletal
chondr/o,cartilage,Skeletal
clavicul/o,clavicle,Skeletal
coccyg/o,coccyx (tailbone),Skeletal
cortic/o,"cortex, outer layer or region",Skeletal
cost/o,rib; costa,Skeletal
crani/o,cranium (skull),Skeletal
cutane/o,skin (subcutaneous),Skeletal
erthr/o,red blood cell,Skeletal
femor/o,femur (thigh bone),Skeletal
fibul/o,fibula (smaller lower leg bone),Skeletal
humer/o,humerus (upper arm bone),Skeletal
ili/o,"ilium (lateral, flaring portion of hip bone)",Skeletal
kyph/o,"humpback, hunchback (posterior curvature in the thoracic region)",Skeletal
lamin/o,"lamina, part of vertebra",Skeletal
lord/o,"curve, swayback, bent",Skeletal
lumb/o,lower back,Skeletal
mandibul/o,"lower jaw, mandible",Skeletal
maxill/o,maxilla (upper jaw),Skeletal
medull/o,inner portion,Skeletal
metacarp/o,metacarpus (hand bones),Skeletal
metatars/o,metatarsals (foot bones),Skeletal
myel/o,"spinal cord, bone marrow (context of usage indicates the meaning intended)",Skeletal
orth/o,"straight, normal, correct",Skeletal
oste/o,"bone, bone tissue",Skeletal
patell/o,patella (kneecap),Skeletal
path/o,"disease, suffering, feeling, emotion",Skeletal
ped/o,"child, foot (depends on context)",Skeletal
phalang/o,phalanges (bones of the fingers and toes),Skeletal
